Year,Region,Temperature (°C),Rainfall (mm),CO2 Levels (ppm),Crop Type,Yield (tons per hectare),Anomaly (%)
2020,South America,15.7,829.65,403.3,Wheat,8.7,-7.46
2002,Australia,29.59,698.85,419.39,Barley,5.14,-13.07
2010,Asia,22.74,972.13,417.8,Rice,4.37,-7.82
2008,Australia,19.73,1232.49,410.5,Corn,6.23,-6.61
2004,Europe,23.16,1110.44,373.87,Barley,7.56,-17.45
2022,South America,12.77,984.54,426.72,Wheat,8.64,-7.44
2001,South America,29.34,465.06,423.97,Sorghum,3.01,12.95
2018,Europe,27.38,406.34,361.7,Corn,8.25,9.25
2001,North America,27.75,519.39,384.75,Barley,5.83,-7.33
2017,Asia,23.37,793.12,413.91,Soybeans,3.56,16.17
2020,North America,33.92,753.64,427.83,Soybeans,6.61,6.37
2012,North America,34.63,342.61,423.94,Wheat,9.09,-0.39
2002,North America,23.47,447.35,421.88,Barley,2.82,-0.63
2020,Asia,29.98,1444.3,377.91,Sorghum,4.45,-4.49
2013,North America,29.31,758.61,426.38,Rice,4.75,1.93
2020,Africa,28.23,874.92,381.42,Corn,8.92,-17.59
2010,Australia,18.17,1053.33,352.37,Sorghum,2.54,-16.33
2022,Africa,12.2,844.97,444.72,Barley,9.19,8.49
2014,South America,17.15,335.45,401.29,Soybeans,6.2,7.39
2003,Australia,24.69,1337.65,388.8,Corn,5.35,9.09
2005,South America,25.29,839.14,440.32,Sorghum,9.29,15.22
2012,South America,33.2,1026.7,376.9,Wheat,7.48,-6.75
2003,Africa,17.66,867.77,387.16,Soybeans,5.09,19.38
2001,North America,26.39,919.36,395.96,Corn,1.79,13.75
2014,Australia,27.38,590.94,424.56,Soybeans,3.02,-13.42
2020,Europe,31.14,620.11,382.39,Barley,1.64,-2.91
2002,South America,31.23,660.07,439.45,Wheat,9.83,13.32
2016,Africa,22.88,983.8,370.97,Sorghum,5.46,8.07
2010,Africa,16.06,1236.79,362.36,Sorghum,5.77,-9.22
2019,Asia,12.88,396.31,442.28,Soybeans,7.79,19.0
2017,Africa,12.24,1064.09,370.13,Corn,3.47,-15.47
2004,Europe,12.69,547.66,407.8,Sorghum,4.42,6.35
2002,Africa,30.47,1012.89,411.28,Soybeans,8.06,13.08
2021,Africa,20.7,996.86,386.35,Wheat,7.42,7.7
2002,Africa,27.35,740.25,402.84,Corn,3.04,-7.96
2012,Africa,21.79,1137.29,423.02,Corn,8.83,-11.4
2008,Africa,21.86,397.25,398.64,Soybeans,3.58,-8.66
2008,Europe,26.07,1137.63,440.44,Soybeans,6.83,4.97
2019,Australia,18.86,1267.12,445.01,Corn,3.94,9.6
2005,South America,30.64,1287.88,362.05,Rice,3.14,-5.28
2006,Africa,21.27,1259.14,387.57,Sorghum,5.33,-8.81
2007,Australia,27.15,1048.39,378.87,Corn,5.12,-8.71
2008,Europe,30.97,1182.61,430.67,Wheat,2.94,-11.68
